ma_san_pham,ten_san_pham,avg_so_sao,total_positive,total_negative,most_popular_positive_word,most_popular_negative_word
213300001,Sữa Chống Nắng Bioré Bảo Vệ Hoàn Hảo - Mát Lạnh 25ml,5.0,0,0,,
213300003,Sữa Chống Nắng Bioré Sáng Hồng Tự Nhiên SPF50+/PA++++ 30ml,4.8,3,0,tốt,
213300004,Sữa Chống Nắng Bioré Trang Điểm SPF 50+/PA++++ 30ml,5.0,2,0,tốt,
213300005,Sữa Chống Nắng Bioré Sáng Mịn Kiềm Dầu SPF 50+/PA++++ 30ml,5.0,2,0,tốt,
213300007,Sữa Chống Nắng Bioré Chống Thấm Nước SPF 50+/PA++++ 40ml,4.833333333333333,7,1,thích,không_phù_hợp
213300016,Sữa Chống Nắng Bioré Bảo Vệ Hoàn Hảo - Sáng Mịn 25ml,5.0,10,0,tốt,
213300043,Khăn Tẩy Trang Bioré Dưỡng Ẩm 10 Miếng (Hồng),5.0,4,2,tiện_lợi,chán
213300058,Miếng Dán Mũi Lột Mụn Bioré Than Hoạt Tính (4 Miếng),3.0,7,2,ổn,tệ
213300064,Sữa Rửa Mặt Bioré Thanh Lọc Da - Ngừa Mụn 100g,4.8,6,0,tốt,
213300093,Essence Chống Nắng Bioré Màng Nước Dưỡng Ẩm Da 85g,4.0,0,0,,
213300094,Sữa Chống Nắng Bioré Dịu Nhẹ Cho Trẻ Em 70ml,4.25,3,1,tốt,tệ
214000001,"Serum Melano CC Dưỡng Sáng Da, Ngừa Thâm Nám 20ml",4.368421052631579,20,2,tốt,không_thích
217300001,Bông Tẩy Trang Jomi 120 Miếng,3.75,9,1,thích,tệ
222200007,Xịt Khoáng Uriage Dưỡng Ẩm Cho Mọi Loại Da 300ml,5.0,3,0,tốt,
222600006,Gel Tẩy Tế Bào Chết Bio-essence Dưỡng Da Tươi Trẻ 60g,5.0,15,1,thích,không_hợp
222600014,Nước Xịt Khoáng Bio-essence Dưỡng Da Ẩm Mượt Mịn Màng 100ml,4.666666666666667,5,0,tốt,
222600016,Sữa Rửa Mặt Bio-essence Cho Da Dầu & Hỗn Hợp 100g,5.0,4,0,ổn,
222600030,Nước Dưỡng Bio-essence Vàng 24K Ngừa Lão Hoá Da 150ml,5.0,8,1,ổn,thất_vọng
222600049,Nước Tẩy Trang Bio-essence Không Cồn Sạch Sâu Da 400ml,5.0,4,0,tốt,
222600052,Nước Tẩy Trang Bio-essence Không Cồn Sạch Sâu Da 100ml,5.0,8,1,tốt,khó_chịu
222600057,Kem Dưỡng Bio-essence Dưỡng Da Tươi Sáng Căng Mọng 50g,4.777777777777778,13,0,tốt,
223600003,Sữa Rửa Mặt Senka Tạo Bọt Chiết Xuất Tơ Tằm Trắng 120g,4.333333333333333,2,0,tốt,
223600009,Gel Sữa Chống Nắng Senka Ẩm Mượt Cho Da Khô 80g,4.4,3,2,cẩn_thận,không_thích
223600010,"Sữa Chống Nắng Senka Kiềm Dầu, Mịn Lì Cho Da Dầu 40ml",4.545454545454546,7,1,tốt,không_thích
223600017,Sữa Rửa Mặt Senka Tẩy Trang 2 Trong 1 120g,5.0,2,0,tốt,
223600026,"Nước Tẩy Trang Senka Ngừa Mụn, Kiểm Soát Nhờn 230ml",5.0,5,0,tốt,
223600032,"Nước Dưỡng Da Senka Sáng Hồng, Mờ Thâm Sạm 200ml",4.571428571428571,3,0,tốt,
223600034,Tinh Chất Chống Nắng Senka Nâng Tông Sáng Mượt Da Dầu 50g,4.7,4,1,thích,không_hợp
223600035,"Nước Tẩy Trang Senka Cấp Ẩm, Dưỡng Sáng Da 230ml",4.3125,8,2,tốt,thất_vọng
223600036,Chống Nắng Serum Senka 3 In 1 Dưỡng Sáng Da Nâng Tông 40g,4.0,2,1,thích,không_hợp
223600039,"Kem Dưỡng Senka Sáng Da, Mờ Thâm Sạm Ban Đêm 50g",4.666666666666667,2,0,thích,
223600040,Kem Dưỡng Senka Sáng Da Chống Nắng Ban Ngày 50g,3.3333333333333335,0,1,,không_hợp
223600048,Sữa Rửa Mặt Senka Dành Cho Da Mụn 100g,5.0,3,0,hiệu_quả,
223600058,Mặt Nạ Ngủ Senka Cấp Ẩm Chuyên Sâu Dạng Gel 50g,4.545454545454546,10,2,tốt,khó_chịu
224100001,"Dung Dịch Hada Labo Dưỡng Ẩm Tối Ưu Da Thường, Khô 100ml",5.0,1,0,tốt,
224100002,Dung Dịch Hada Labo Dưỡng Ẩm Tối Ưu Cho Da Dầu 100ml,4.25,4,1,hiệu_quả,không_hợp
224100004,"Dung Dịch Hada Labo Dưỡng Ẩm Tối Ưu Da Thường, Khô 170ml",5.0,4,0,tốt,
224100007,Kem Dưỡng Ẩm Hada Labo Tối Ưu Cho Mọi Loại Da 50g,4.1,14,2,tốt,không_tốt
224100008,"Kem Rửa Mặt Hada Labo Sạch Sâu, Dưỡng Sáng Da 80g",4.777777777777778,13,1,tốt,không_tốt
224100009,Kem Rửa Mặt Hada Labo Sạch Sâu Dưỡng Ẩm 80g,4.770491803278689,38,6,tốt,khó_chịu
224100019,"Kem Dưỡng Hada Labo Sáng Da Chuyên Sâu, Giảm Thâm Sạm 50g",4.565217391304348,10,4,tốt,tệ
224100022,Dầu Tẩy Trang Hada Labo Sạch Sâu Dưỡng Ẩm Tối Ưu 200ml,5.0,9,0,tốt,
224100029,Dung Dịch Hada Labo Gokujyun Dưỡng Ẩm Da Tối Ưu 170ml,5.0,9,1,tốt,không_hợp
225200013,Mặt Nạ Ngủ Môi Care:Nel Chiết Xuất Quả Mọng 5g,4.75,8,0,thích,
225200015,Mặt Nạ Ngủ Môi Care:Nel Chiết Xuất Quả Mọng 23g,4.8,7,0,thích,
225300001,Sữa Rửa Mặt Isis Pharma Giảm Nhờn Và Ngăn Ngừa Mụn 150ml,4.0,3,0,ổn,
225300002,Sữa Rửa Mặt Isis Pharma Giảm Nhờn Và Ngăn Ngừa Mụn 40ml,4.5,3,1,tốt,thất_vọng
226200007,Sữa Rửa Mặt Acnes Dưỡng Sáng Và Ngăn Ngừa Mụn 100g,5.0,3,0,thích,
226200009,Gel Rửa Mặt Acnes Giúp Kiểm Soát Nhờn 100g,5.0,0,1,,không_hợp
226200017,Gel Giảm Mụn Acnes Đầu Trắng Và Đầu Đen 18g,4.0,2,0,hài_lòng,
226200018,Miếng Dán Mụn Acnes Giúp Giảm Mụn Sưng Viêm 24 Miếng,4.375,5,0,tốt,
226200031,Dung Dịch Tạo Bọt Acnes Ngăn Ngừa Mụn 150ml,5.0,0,0,,
231100005,"Serum GoodnDoc Dưỡng Ẩm, Hỗ Trợ Phục Hồi Da 30ml",4.666666666666667,4,4,tốt,thất_vọng
232500001,Lotion Meishoku Bigansui Ngăn Ngừa Mụn 90ml,4.5,15,1,tốt,kém
232500022,"Kem Dưỡng Mắt Meishoku Ngừa Lão Hóa, Giảm Quầng Thâm 30g",4.555555555555555,18,3,cải_thiện,không_thích
237800005,Bông Tẩy Trang Mihoo Bông Tròn Túi 200 Miếng,4.7368421052631575,13,1,tốt,không_thích
237800007,Bông Tẩy Trang Mihoo Bông Tròn Túi 150 Miếng,5.0,1,0,tốt,
243300007,Bông Tẩy Trang Ipek 150 Miếng,3.6842105263157894,15,4,tốt,tệ
245500001,Tẩy Tế Bào Chết Rosette Cho Mọi Loại Da 120g,4.875,6,1,tốt,khó_chịu
245500002,Tẩy Tế Bào Chết Rosette Cho Da Khô 120g,4.888888888888889,10,1,tốt,hạn_chế
245500009,Tẩy Tế Bào Chết Rosette Cho Mọi Loại Da 180g,4.545454545454546,3,1,tốt,khó_chịu
245500010,Tẩy Tế Bào Chết Rosette Cho Da Khô 180g,4.714285714285714,5,1,ổn,buồn
248100018,Nước Hoa Hồng EVELINE Chiết Xuất Trà Matcha 400ml,5.0,7,2,thích,không_thích
248700001,Sữa Rửa Mặt Naris Acmedica Chăm Sóc Da Mụn 100g,4.666666666666667,14,0,tốt,
248700002,Nước Dưỡng Da Naris Acmedica Dành Cho Da Mụn 150ml,4.285714285714286,11,1,tốt,không_hợp
248700003,Gel Dưỡng Mắt Naris Cosmetics Ngừa Thâm & Nếp Nhăn 20g,4.888888888888889,15,0,cải_thiện,
248700027,Xịt Chống Nắng Naris Cosmetics Dưỡng Sáng Da 90g,4.7,13,2,tốt,tệ
248700032,"Kem Dưỡng Mắt Naris Cosmetics Sáng Da, Ngừa Nếp Nhăn 20g",4.166666666666667,11,0,tốt,
248700034,Sữa Dưỡng Naris Acne Grand Cho Da Mụn 160ml,4.6,8,0,tốt,
248700035,Kem Chống Nắng Naris Cosmetics Dạng Gel Nâng Tone Da 80g,4.457142857142857,38,8,tốt,tệ
248700042,Kem Dưỡng Naris Cosmetics Collagen Ngừa Lão Hóa Da 48g,5.0,9,0,thích,
248700052,Dầu Tẩy Trang Naris Acne Grand Dành Cho Da Mụn 100ml,4.333333333333333,5,1,thích,không_đáng
248700053,Sữa Rửa Mặt Naris Acne Grand Cho Da Dầu Mụn 100g,4.857142857142857,4,0,tốt,
248700054,Gel Chấm Mụn Naris Cosmetics Acne Grand 20g,5.0,18,1,tốt,không_tốt
248700055,Sữa Dưỡng Naris Cosmetics Hyaluronic Acid Cấp Ẩm Da 150ml,5.0,13,0,tốt,
248700057,Kem Dưỡng Naris Cosmetics Cấp Ẩm Chuyên Sâu 48g,5.0,14,0,tốt,
248700058,Sữa Rửa Mặt Và Tẩy Trang Naris Cosmetics Dưỡng Ẩm 100g,5.0,1,0,thích,
248700062,Kem Dưỡng Ẩm Naris Alodew Chiết Xuất Lô Hội 97g,5.0,3,0,thích,
248700072,Sữa Rửa Mặt Naris Nature Dưỡng Sáng Da 100g,5.0,2,0,tốt,
248700074,Kem Dưỡng Naris Nature Làm Sáng Da Ban Ngày SPF20 PA+ 40g,5.0,7,0,tốt,
248700075,Serum Naris Nature Dưỡng Sáng Da 30ml,4.636363636363637,13,0,tốt,
248700076,Kem Dưỡng Naris Nature Làm Sáng Da Ban Đêm 50g,5.0,8,0,tốt,
248700102,Sữa Rửa Mặt Naris Nature Se Khít Lỗ Chân Lông 100g,4.111111111111111,6,2,tốt,tệ
248700105,Sữa Rửa Mặt Naris Nature Cho Da Mụn Chiết Xuất Mù Tạt 100g,5.0,7,0,tốt,
249500001,Sữa Chống Nắng Sunplay Bảo Vệ Vượt Trội SPF81 PA++++ 30g,5.0,4,0,thích,
249500002,Sữa Chống Nắng Sunplay Giải Nhiệt Da 30g,4.625,5,1,tốt,hạn_chế
249500004,Sữa Chống Nắng Sunplay Dưỡng Da Sáng Đẹp 30g,4.777777777777778,14,0,tốt,
249500007,Sữa Chống Nắng Sunplay Skin Aqua Dưỡng Da Sáng Mịn 55g,4.6521739130434785,22,3,tốt,không_tốt
249500011,Sữa Chống Nắng Sunplay Bảo Vệ Vượt Trội SPF81 PA++++ 70g,5.0,2,0,tốt,
249500013,Sữa Chống Nắng Sunplay Skin Aqua Dưỡng Da Sáng Mịn 25g,4.8,27,5,tốt,kém
249500014,Sữa Chống Nắng Sunplay Skin Aqua Dưỡng Da Ngừa Mụn 25g,4.8,19,2,tốt,khó_chịu
249500019,Tinh Chất Chống Nắng Sunplay Hiệu Chỉnh Sắc Da 50g (Tím),4.633333333333334,20,0,tốt,
249500021,Sữa Chống Nắng Sunplay Hiệu Chỉnh Sắc Da 50g (Tím),4.705882352941177,13,4,tốt,không_tốt
249500027,Tinh Chất Chống Nắng Sunplay Hiệu Chỉnh Sắc Da 50g (Xanh),4.255813953488372,34,6,tốt,không_thích
249500028,Sữa Chống Nắng Sunplay Hiệu Chỉnh Sắc Da 50g (Xanh),4.666666666666667,21,1,tốt,tệ
251900019,Mặt Nạ Rainbow L’affair Mật Ong Dưỡng Ẩm Da 25g,4.777777777777778,16,2,thích,không_thích
251900024,"Mặt Nạ Rainbow L'Affair Cấp Ẩm, Ngừa Lão Hóa Da 25ml",5.0,5,0,tốt,
253900002,"Kem Dưỡng Skin1004 Rau Má Dưỡng Ẩm, Phục Hồi Da 75g",4.777777777777778,7,1,tốt,khó_chịu
253900003,Serum Skin1004 Rau Má Làm Dịu & Hỗ Trợ Phục Hồi Da 100ml,4.684210526315789,19,2,tốt,tệ
253900004,Serum Skin1004 Rau Má Làm Dịu & Hỗ Trợ Phục Hồi Da 55ml,4.458333333333333,24,0,tốt,
253900005,Nước Hoa Hồng Skin1004 Phục Hồi Và Tái Tạo Da 210ml,4.6,10,1,ổn,buồn
253900006,Kem Chống Nắng Skin1004 Cho Da Nhạy Cảm SPF 50+ 50ml,4.545454545454546,33,11,tốt,khó_chịu
253900007,Sữa Rửa Mặt Skin1004 Làm Sạch Sâu Cho Da Nhạy Cảm 125ml,4.583333333333333,11,1,tốt,không_thích
253900009,"Mặt Nạ Skin1004 Làm Dịu, Ngừa Mụn Chiết Xuất Rau Má 25ml",4.666666666666667,4,0,tốt,
253900010,Kem Dưỡng Skin1004 Làm Dịu Da Chiết Xuất Rau Má 75ml,3.909090909090909,6,1,tốt,kém
256700001,"Bột Cám Gạo Milaganics Dưỡng Da Sáng Mịn, Mờ Thâm 100g",5.0,1,0,thích,
256700002,Gel Nha Đam Milaganics Dưỡng Ẩm & Làm Mềm Da 300ml,5.0,7,0,thích,
256700006,Bột Yến Mạch Milaganics Ngăn Ngừa Lão Hóa & Mụn 100g (Túi),4.5,1,0,thư_giãn,
256700007,"Bột Trà Xanh Milaganics Kiểm Soát Nhờn, Ngăn Ngừa Mụn 100g",5.0,5,0,thích,
256700011,Mascara Dưỡng Mi Milaganics Dầu Dừa Nguyên Chất 5ml,4.809523809523809,14,1,tốt,khó_chịu
256700012,Gel Nha Đam Milaganics Dưỡng Ẩm & Làm Mềm Da 150ml,4.75,5,0,tốt,
256700017,"Serum Dưỡng Dài Mi Milaganics Dầu Dừa, Argan & Olive 5ml",5.0,6,2,tốt,khó_chịu
256700020,"Bột Diếp Cá Milaganics Giảm Mụn, Mờ Vết Thâm 100g",5.0,1,0,tốt,
264500018,Xịt Khoáng DOLLANIA Cho Mọi Loại Da 150ml,4.0,1,0,tốt,
293500006,Gel Rửa Mặt SVR Không Chứa Xà Phòng Cho Da Dầu 200ml,5.0,3,0,tốt,
293500010,Gel Rửa Mặt SVR Dành Cho Da Nhạy Cảm 200ml,5.0,2,0,tốt,
293500043,Gel Rửa Mặt SVR Không Chứa Xà Phòng Cho Da Dầu 55ml,5.0,9,1,tốt,không_hợp
293500050,"Serum SVR Làm Giảm Mụn, Mờ Nám, Làm Mềm Mịn Da 30ml",4.8,7,1,tốt,không_hợp
304900016,Mặt Nạ Đen Sexylook Hoa Cúc Giảm Mụn Sáng Da 28ml,4.5,2,0,ổn,
308100018,Mặt Nạ Cocoon Bí Đao Giảm Dầu & Mụn 30ml,4.695652173913044,14,3,thích,thất_vọng
308100023,Dầu Tẩy Trang Cocoon Chiết Xuất Hoa Hồng 140ml,4.888888888888889,16,1,tốt,không_hợp
308500001,Sữa Rửa Mặt Naruko Dạng Bùn Tràm Trà 120ml,5.0,11,2,tốt,không_hợp
308500004,Mặt Nạ Naruko Tràm Trà Kiểm Soát Dầu Và Giảm Mụn 26ml,4.333333333333333,8,1,ổn,không_thích
308500009,"Mặt Nạ Naruko Ý Dĩ Nhân Đỏ Se Lỗ Chân Lông, Sáng Da 25ml",4.285714285714286,16,2,tốt,thất_vọng
308500013,Mặt Nạ Naruko Hoa Hồng Nhung Cấp Nước Cho Da 25ml,3.3846153846153846,7,4,thư_giãn,tệ
308500015,"Mặt Nạ Naruko Bạch Ngọc Lan Dưỡng Sáng, Săn Chắc Da 30ml",3.888888888888889,13,5,thư_giãn,kém
308500018,Mặt Nạ Naruko Hoa Thủy Tiên Hỗ Trợ Phục Hồi Da 25ml,4.333333333333333,10,0,tốt,
308500037,Hộp 8 Miếng Mặt Nạ Naruko Tràm Trà Kiềm Dầu Giảm Mụn 26ml/M,4.666666666666667,10,1,dễ_dàng,kém
